id,check,result,details
"UB-BLP-001","Fresh Unity compile","PASS","Batch compile succeeded before bridge build."
"UB-BLP-002","Source BattleLikePreviewArea located","PASS","Assets/_Game/Scenes/Scene_TalismanBag_V04_BattleSandboxPreview.unity"
"UB-BLP-003","Mounted in shell","PASS","BattlePageRoot/BuildSandboxPreviewHost"
"UB-BLP-004","Controller bound","PASS","BuildGridInteractionPreviewRuntime"
"UB-BLP-005","Board slots","PASS","25"
"UB-BLP-006","Item tray view","PASS","BuildItemTrayPreviewView"
"UB-BLP-007","Drag ghost","PASS","GridInteractionDragGhost"
"UB-BLP-008","Placement feedback","PASS","PlacementFeedback"
"UB-BLP-009","Dev diagnostics","PASS","DevOnlyDiagnosticsSlot"
"UB-BLP-010","Result placeholder safe","PASS","No reward/save/chapter writer added"
"UB-BLP-011","Shell not in BuildSettings","PASS","Assets/_Game/Scenes/Scene_TalismanBag_V04_UnifiedBattlePageShell.unity"
"UB-BLP-012","Marker flags","PASS","devOnly true; enabled/formal/route false"
"UB-BLP-013","Leak count","PASS","0"
